,Rebalances,Total One-Way Turnover,Average Turnover per Rebalance,Annualised One-Way Turnover,Total Transaction Costs (₹),Costs as Percentage of Initial Capital
GJR-GARCH Forecast-Aware,31.0,3.703981806156441,0.11948328406956261,1.4676154326280237,7126.020339106783,0.007126020339106783
63-Day Historical Volatility,31.0,3.4268583763367086,0.11054381859150673,1.3578118094919034,6632.819834704182,0.0066328198347041815
