Forecast Model,Observations,MAE,RMSE,Forecast Bias,Directional Accuracy,Forecast–Actual Correlation,RMSE Improvement vs Zero
Zero-Return Benchmark,632,0.006160212926919146,0.00864832778572047,-0.0001993093570480815,0.0015822784810126582,,0.0
Expanding-Mean Benchmark,632,0.006157904546722945,0.00865222476980682,0.00028900629141237835,0.5221518987341772,-0.041297758163576406,-0.00045060550234743424
"ARIMA(2, 0, 3)",632,0.006308477509091772,0.008780135329700093,0.0003001552232078556,0.49050632911392406,-0.03007128834471103,-0.01524081270338229
Previous-Day Benchmark,632,0.00890699338436119,0.012780143855054467,-7.802533347400516e-06,0.5237341772151899,-0.09247654093199804,-0.4777589577670922
