Model,AIC,BIC,Log Likelihood,Parameters,Alpha,Beta,Gamma,Persistence,Degrees of Freedom,Converged
"GJR-GARCH(1,1) — Student's t",4930.2710010814535,4958.174499842577,-2460.1355005407268,5,7.301532753867291e-11,0.8949979161968546,0.14577181500337189,0.9678838237715559,9.555729936304987,True
"GJR-GARCH(1,1) — Normal",4973.0237240044835,4995.346523013382,-2482.5118620022417,4,1.0718531246577007e-11,0.8912214712564586,0.1516101451277691,0.9670265438310617,,True
"GARCH(1,1) — Student's t",4990.038562536352,5012.3613615452505,-2491.019281268176,4,0.07858124036056631,0.8985579313699318,0.0,0.9771391717304981,8.245330025915825,True
"GARCH(1,1) — Normal",5046.275014142205,5063.017113398879,-2520.1375070711024,3,0.09463072458560627,0.886934054914908,0.0,0.9815647795005142,,True
ARCH(1) — Student's t,5175.97300713851,5192.715106395184,-2584.986503569255,3,0.348105039323542,0.0,0.0,0.348105039323542,4.619922831232283,True
ARCH(1) — Normal,5442.581145059777,5453.742544564226,-2719.2905725298883,2,0.40555885700027594,0.0,0.0,0.40555885700027594,,True
