,GJR-GARCH Forecast-Aware,63-Day Historical Volatility,Forecast-Aware Difference
Ending Value (₹),1436300.1756348182,1452510.9075451135,-16210.731910295319
CAGR,0.15426282121983936,0.15940719087337984,-0.0051443696535404815
Annualised Volatility,0.13303143781696594,0.13230993446785297,0.000721503349112973
Sharpe Ratio,0.6718154704487884,0.7083202284423771,-0.036504757993588655
Maximum Drawdown,-0.15066542309581177,-0.1479579370234907,-0.0027074860723210747
Calmar Ratio,1.0238767332949374,1.0773818159418604,-0.053505082646923
Beta vs Nifty,0.841461593504094,0.8384141327820036,0.0030474607220903893
