Volatility Model,Observations,Volatility MAE,Volatility RMSE,Variance MSE,QLIKE,Volatility–Absolute Residual Correlation,Average Forecast Volatility,QLIKE Improvement vs 63-Day
EWMA Volatility — 0.94,632,0.49482437142357905,0.6477852196021306,4.2706995098039835,0.6574878639611034,0.20568347178634205,0.8322879960107077,0.11171028374053005
"GJR-GARCH(1,1) — Student's t",632,0.49284916640495313,0.6400981060438012,4.198120046754916,0.6597648707887553,0.2805441617701809,0.8668198504528408,0.10943327691287807
21-Day Historical Volatility,632,0.5022425152554268,0.6675706303697713,4.485038836364745,0.7025438984122974,0.1784214855387674,0.821812602511556,0.06665424928933605
63-Day Historical Volatility,632,0.5212591569049656,0.6751756812592795,4.443553980936093,0.7691981477016334,0.0652986828439058,0.8442677682719637,0.0
