,Ending Value (₹),Total Return,CAGR,Annualised Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Beta vs Nifty,Correlation vs Nifty
GJR-GARCH Forecast-Aware,1436300.1756348182,0.43630017563481815,0.15426282121983936,0.13303143781696594,0.6718154704487884,0.9580904182534187,-0.15066542309581177,1.0238767332949374,0.841461593504094,0.8673080879419436
63-Day Historical Volatility,1452510.9075451135,0.45251090754511347,0.15940719087337984,0.13230993446785297,0.7083202284423771,1.0202614635372873,-0.1479579370234907,1.0773818159418604,0.8384141327820036,0.8688794364401927
Nifty 50,1118986.8095714366,0.11898680957143659,0.04555225182370326,0.1371176567770931,-0.06583989988959087,-0.09065779120367073,-0.1576667830374089,0.2889147031870073,0.9999999999999992,1.0
