Date,Portfolio Value (₹),Net Daily Return,Rebalanced,One-Way Turnover,Transaction Cost (₹),Cash Weight,HDFCBANK.NS Weight,TCS.NS Weight,HINDUNILVR.NS Weight,SUNPHARMA.NS Weight,POWERGRID.NS Weight,BHARTIARTL.NS Weight,LT.NS Weight,M&M.NS Weight,BEL.NS Weight,TRENT.NS Weight
2024-01-01,993899.4978391371,-0.006100502160862886,True,0.9999999999999999,1499.9999999999998,1.1156407219036045e-16,0.11153774756658454,0.08310030245083196,0.12308047530216958,0.10165198632526048,0.08259943373176698,0.07230595749851257,0.11049192491299432,0.07585913828567521,0.11432150313270881,0.1250515307934954
2024-01-02,988019.37226366,-0.00591621747295501,False,0.0,0.0,1.1225608695861853e-16,0.11226763011383714,0.08298290283446584,0.12190316139582447,0.10517395037655185,0.08295152670537481,0.07335734692228622,0.10839556616647358,0.07420044514858805,0.11326083722115206,0.12550663311544574
2024-01-03,987632.7903371796,-0.000391269581683118,False,0.0,0.0,1.1232809382614733e-16,0.11057974611310814,0.08100867786502738,0.12161260366329203,0.10540993554622931,0.08270487457827795,0.074355723980681,0.10850895991562554,0.07418691408994627,0.11342960733019813,0.1282029569176142
2024-01-04,994346.6622911128,0.0067979435470557625,False,0.0,0.0,1.115975343854154e-16,0.11101160189970673,0.07991791485706008,0.12014268885032914,0.10585514097925469,0.08367121163262278,0.07475972575023818,0.10835115879048024,0.07308280413065903,0.11547489079195909,0.12773286231768996
2024-01-05,996709.8356765904,0.0023766091596593153,False,0.0,0.0,1.1136076507949614e-16,0.11018183003960305,0.08127437990869671,0.1211292126507236,0.10457864853152943,0.08340368308883837,0.0744899448027894,0.11006943896420998,0.07292284920732149,0.11461554586217917,0.12733446694410858
2024-01-08,989124.4395223103,-0.007610435738432342,False,0.0,0.0,1.1224281433746502e-16,0.10978926856197099,0.08059182374890596,0.12011081979891089,0.1057940082283565,0.08442649557158062,0.07523691226906011,0.11025849548231331,0.07232524684085202,0.11403491833894536,0.12743201115910407
2024-01-09,997074.9929303589,0.00803797084610336,False,0.0,0.0,1.1137563322861088e-16,0.10806592036721473,0.08020131048685203,0.11922237813155412,0.1064539595460544,0.08373601027557068,0.0757362013710808,0.11109288930177237,0.07235896063679517,0.1137725754047371,0.12935979447836848
2024-01-10,999473.1518078878,0.0024051940872380495,False,0.0,0.0,1.1113616542901024e-16,0.10816260967924099,0.08051084732145129,0.11882797071334482,0.1062666891601076,0.0824490939602152,0.0754267166279388,0.11050064829811769,0.07231378217983313,0.11408352487131515,0.13145811718843517
2024-01-11,995767.8234119642,-0.003707281570516696,False,0.0,0.0,1.1157759137508494e-16,0.1081094501916585,0.08130011802580696,0.1173636050438669,0.10596975154964562,0.08372481653282136,0.0757180731242,0.1096401993240831,0.07239839152681497,0.11373684951057494,0.1320387451705275
2024-01-12,1002489.1475512563,0.006749890869401476,False,0.0,0.0,1.1085720406954288e-16,0.10687665619169781,0.08393827979910813,0.11693527047907397,0.10603496036568036,0.08232134934805269,0.07616571335555904,0.11089220785123279,0.07172753001823255,0.11245337686609974,0.13265465572526275
2024-01-15,1011114.5364125831,0.00860397230473331,False,0.0,0.0,1.0993899864670957e-16,0.1080052302596121,0.08367234867265752,0.11726846548464744,0.10540000251008481,0.08218139521310742,0.07734362817564501,0.10915293334326864,0.07160159675086583,0.11462319708858949,0.13075120250152164
2024-01-16,1005972.7793976597,-0.005085236963525697,False,0.0,0.0,1.105285396505929e-16,0.10896934667756203,0.08318443778115332,0.11768005588951842,0.10467161033385154,0.08188214103233163,0.07728058455269839,0.11065372587863005,0.0712987304374439,0.11407926716655749,0.13030010025025313
2024-01-17,992538.3098807019,-0.013354704811199603,False,0.0,0.0,1.120525934932572e-16,0.10112741890597567,0.0848191139326543,0.1189850516584125,0.10492126849851341,0.08304252738199784,0.07756542859152085,0.1120714401680878,0.07125366082256343,0.11491156244548398,0.13130252759478997
2024-01-18,993355.8649755981,0.0008237012987382109,False,0.0,0.0,1.119883539825135e-16,0.09766947410411646,0.0851420156098002,0.11819596771555363,0.10780079320854988,0.08097961660044124,0.07763013877135654,0.11276472862490136,0.07206618262370934,0.11639408146404832,0.13135700127752278
2024-01-19,1005878.6116301395,0.012606505982474925,False,0.0,0.0,1.1062178912256351e-16,0.09544756436787565,0.08554537926659614,0.11752156024737542,0.10644677359085203,0.08063944835356232,0.07934007711326087,0.11290925921774729,0.07285442479256776,0.11717429058260961,0.13212122246755273
2024-01-23,988646.8351488371,-0.017131069576453606,False,0.0,0.0,1.1257801883519573e-16,0.0942519568577304,0.08516458278528029,0.1107212660476919,0.11176458966187124,0.08293373219618498,0.08309082647563824,0.11188399745928272,0.07142219098416386,0.11626491654986312,0.13250194098229318
2024-01-24,1005004.5922134431,0.01654560201180777,False,0.0,0.0,1.1077334393500428e-16,0.09457243891585564,0.08342122525988876,0.11194981424928045,0.11024858590514915,0.08441248174719297,0.0839936261052785,0.11124693378575023,0.07170876488518726,0.11568683358933796,0.13275929555707888
2024-01-25,1000009.0434367218,-0.00497067258739492,False,0.0,0.0,1.1135453659500614e-16,0.09367394681236457,0.08315054760806963,0.11189391115798729,0.10969304291161852,0.08459295972682894,0.08232763680307523,0.11193506171359432,0.07239454287401859,0.11654119198282738,0.1337971584096153
2024-01-29,1012581.0438439257,0.012571886714142,False,0.0,0.0,1.0999946673624215e-16,0.09378422923974457,0.08191772424384303,0.11123731313770746,0.1109081591194357,0.08641817824446539,0.0814175585849227,0.11406919908930084,0.07169242899457863,0.11582230726483032,0.13273290208117122
2024-01-30,997056.7659651354,-0.015331392951874245,False,0.0,0.0,1.1174009027004134e-16,0.0945667815059076,0.08318334919261428,0.11362785691557385,0.1102952296107047,0.08781555564465936,0.0824362210585874,0.11351149378022651,0.07193630741400334,0.1157771889267863,0.12685001595093653
2024-01-31,1002724.0465994183,0.00568401000598695,False,0.0,0.0,1.1113631766596153e-16,0.09522048820328884,0.08304837008078009,0.11403801472045262,0.11340551515521097,0.08910615499688457,0.08282278877321797,0.10809985232119201,0.07290705252603089,0.11389746249975789,0.12745430072318412
2024-02-01,1000090.000003202,-0.0026268908232023325,True,0.044120320535062665,66.36075951627217,0.0,0.08515315332165128,0.10350494574608828,0.10128337105945336,0.11357658639858399,0.10029231367991522,0.09530056821779934,0.10769154332553355,0.0534573079238595,0.11209627840646225,0.12764393192065326
2024-02-02,1007307.1368413328,0.0072164873542457375,False,0.0,0.0,0.0,0.08337841156823227,0.10575362300740375,0.09970401362126989,0.11345961482923973,0.10380693012749688,0.09458489915308395,0.10622928614523154,0.05338288103386304,0.1120213386948501,0.12767900181932892
2024-02-05,1003338.0430234466,-0.003940301495661269,False,0.0,0.0,0.0,0.08363299399566228,0.10635933421760008,0.098747496894072,0.11769963207572794,0.10639896888395685,0.09188535293054995,0.10556597983634725,0.0549752586076253,0.11060631919055673,0.12412866336790171
2024-02-06,1011955.1364667073,0.00858842491140277,False,0.0,0.0,0.0,0.08287779233710477,0.10977181954559831,0.09818382411483416,0.11759823382883561,0.10226736941928374,0.09278009728964103,0.10725104687041226,0.055278234717540016,0.11060074078797406,0.12339084108877586
2024-02-07,1030575.4567963982,0.018400341733235903,False,0.0,0.0,0.0,0.08058295618149261,0.10641766336296056,0.09637408631347825,0.11712524122666662,0.09811281492577822,0.09112382400939836,0.10440442683855487,0.0540705444654919,0.10777202895852378,0.14401641371765483
2024-02-08,1042596.137793856,0.011664047419511325,False,0.0,0.0,0.0,0.0781554393882485,0.10649677204842987,0.09493302326020686,0.11603791392666393,0.09996761228405533,0.09069657974255561,0.10140097845176606,0.0523570709267626,0.1083469837846462,0.15160762618666504
2024-02-09,1036299.9880720642,-0.006038915255445421,False,0.0,0.0,0.0,0.07866110240114824,0.10713343542274822,0.0957903327111249,0.12016434401008996,0.09940972643235926,0.08949799528203706,0.10168214783880856,0.05144101607687599,0.10696251699607204,0.14925738282873577
2024-02-12,1030138.3656542212,-0.005945790300843523,False,0.0,0.0,0.0,0.07836487449426531,0.10743532082892779,0.0948328681792006,0.120855503979863,0.0990152817407037,0.08990873157813821,0.10152113125383637,0.052190309316378525,0.10402845977824628,0.15184751885044032
2024-02-13,1035524.6341886562,0.005228684528232552,False,0.0,0.0,0.0,0.07820682636344169,0.10762345779355048,0.09466980258535354,0.12083410901658084,0.09848202903777603,0.08937312267507941,0.10166492060404309,0.051490475267851304,0.10464282389512652,0.1530124327611972
2024-02-14,1038569.7395922173,0.002940640234934566,False,0.0,0.0,0.0,0.07739596870268813,0.10603039409490721,0.09415368429848661,0.11877676716770577,0.09942864686358197,0.08895164901486892,0.10098536043082926,0.051660623242789055,0.10729002053682866,0.15532688564731426
2024-02-15,1050413.8979069716,0.011404297528835095,False,0.0,0.0,0.0,0.0781819512918135,0.10491409282069908,0.0916457281279553,0.11662643249849577,0.10287315833567927,0.08833091753465275,0.09958416835659913,0.05440718362952067,0.10862126546137113,0.1548151019432133
2024-02-16,1059073.9316346794,0.00824440132119686,False,0.0,0.0,0.0,0.07786345579174979,0.10469273920454839,0.09183977573654493,0.11567662099290812,0.09945989354113435,0.08755391609683312,0.10135709884758135,0.05611767158748469,0.10909457691311009,0.1563442512881052
2024-02-19,1063042.2659067016,0.0037469851286935363,False,0.0,0.0,0.0,0.07741981729764026,0.1036829188552853,0.09195533515663781,0.11678271024618918,0.09973825776634442,0.0889560333477253,0.09958037266028963,0.056304144190720516,0.10894707926044933,0.15663333121871828
2024-02-20,1070198.5015038257,0.006731844844400703,False,0.0,0.0,0.0,0.07892086364971558,0.10115382726117612,0.09198902337549228,0.11665379786933609,0.1032119866283494,0.08849659366398484,0.0994150088406299,0.056081946429172545,0.10930791577977253,0.15476903650237056
2024-02-21,1057132.6289457283,-0.012208830922242342,False,0.0,0.0,0.0,0.07906398981352636,0.10140941588010816,0.09324217678456548,0.11845633884643599,0.10165682054599756,0.08927320024633986,0.09883430607444238,0.056958877821731334,0.10952709209687032,0.15157778188998258
2024-02-22,1069497.7268209353,0.011696827376843633,False,0.0,0.0,0.0,0.07708555446670402,0.10263771732839067,0.09143666300317396,0.118198197541249,0.10137832600536913,0.08790432207761661,0.09968760120430499,0.05783526781860167,0.11173178307703345,0.1521045674775565
2024-02-23,1073132.4729831016,0.0033985543596903867,False,0.0,0.0,0.0,0.07688128492216724,0.10141411927870009,0.09135591571513753,0.11803979001233716,0.10080258277593362,0.0868505329863246,0.10006470776165353,0.05823074242140388,0.117385603047078,0.14897472107926432
2024-02-26,1073132.664293971,1.7827330189845725e-07,False,0.0,0.0,0.0,0.07697328015479149,0.1001364428026854,0.09174322438734543,0.117714658710565,0.10289403837567099,0.08563927558703166,0.10249250687443621,0.05822621214902781,0.11678520156386038,0.14739515939458553
2024-02-27,1087488.810717201,0.013377792793843657,False,0.0,0.0,0.0,0.07584232076777479,0.10136696106252474,0.09057163880547399,0.11808556771339078,0.1031938602924203,0.08583720022235511,0.10219747403541751,0.05807685291756898,0.11586415360633605,0.14896397057673785
2024-02-28,1079261.2963454681,-0.0075656082992769935,False,0.0,0.0,0.0,0.07584200925212291,0.1025018118746872,0.09187863749187461,0.11831668808236553,0.09937695384213899,0.08658745679824324,0.10191196433804246,0.057051052340930906,0.11691798459164653,0.14961544138794758
2024-02-29,1078167.2401351684,-0.0010137083707202343,False,0.0,0.0,0.0,0.07559577698420117,0.10201170387718654,0.09162056802405022,0.1187452943264969,0.10065211583771673,0.08626065801853554,0.10223146116273278,0.058032402622545776,0.11672361916307919,0.14812639998345517
2024-03-01,1087660.077761568,0.008804605883971472,True,0.05624432609216479,90.96118475407762,0.0,0.09114391348427935,0.09975746109511296,0.1109213048879662,0.11930280670673182,0.07592219754058935,0.0962712237202698,0.11392020908853115,0.05397268890872394,0.1126085539210014,0.12617964064679416
2024-03-04,1091758.9504043553,0.003768523573305149,False,0.0,0.0,0.0,0.09092547227905534,0.09905159765541602,0.11106893132844387,0.11830988432581742,0.07746432284290646,0.09631766432589717,0.11383452021490977,0.05235559497411483,0.11436838177616905,0.12630363027727007
2024-03-05,1092386.4327844188,0.000574744434044705,False,0.0,0.0,0.0,0.09139019273087592,0.09733052585208635,0.1099899716944477,0.11992554667492311,0.07751179051582435,0.09926867710369644,0.11277487971308509,0.052821252117542274,0.11492981966384354,0.12405734393367528
2024-03-06,1100804.0636111721,0.007705726265106794,False,0.0,0.0,0.0,0.0908014984647959,0.09784290637492352,0.10919208865552596,0.12126135793284312,0.07658011570943965,0.10059960528124383,0.11282947612419984,0.05326607366711381,0.11388862561840542,0.12373825217150913
2024-03-07,1108216.9474107767,0.006734062895159321,False,0.0,0.0,0.0,0.0904129488839419,0.09824775756375456,0.10930878565279922,0.12057789345625136,0.07579590962074047,0.10042896431757244,0.11314405227414874,0.050947123338882086,0.1156801719644007,0.1254563929275086
2024-03-11,1101427.4559287732,-0.006126500319153627,False,0.0,0.0,0.0,0.08981908573613288,0.09918423010691317,0.1086325536952087,0.12040694851868781,0.07441291822799728,0.10078693758665072,0.11271607953397846,0.051174722599060515,0.11495997908725147,0.1279065449081189
2024-03-12,1099285.145295541,-0.0019450310791695458,False,0.0,0.0,0.0,0.09199532010584863,0.10106258028252542,0.10831137517695374,0.11993754640506767,0.07445348718797895,0.10162895512631774,0.11234788472867134,0.051296113295258836,0.11068611529286737,0.12828062239851032
2024-03-13,1068851.2773117083,-0.027685144399591244,False,0.0,0.0,0.0,0.09466984793766871,0.10286786876180903,0.10832494522419474,0.1213516069191193,0.07097442625724387,0.10144147462099212,0.11289555872343263,0.051602809920633826,0.10606276389436294,0.12980869774054285
2024-03-14,1086356.1835137121,0.016377307651285866,False,0.0,0.0,0.0,0.09282867743164543,0.10263980418927526,0.10759336195912723,0.12028481498711929,0.07037242639907544,0.10201438885553807,0.11326276540721733,0.05178060746830992,0.10706812736866815,0.132155025934024
2024-03-15,1076986.46902266,-0.008624900960886195,False,0.0,0.0,0.0,0.09345614770071768,0.10381942937700947,0.10820865157320787,0.11963131946101385,0.07087806399816876,0.10508983679764744,0.11199845159128807,0.049715610536652716,0.10445955406328256,0.1327429349010116
2024-03-18,1078859.2679638371,0.0017389252279804701,False,0.0,0.0,0.0,0.092870044735703,0.10199959623679486,0.10673302172705747,0.12120167688804767,0.07047566984467693,0.10536316859850625,0.11256422018261138,0.05118893427505717,0.10485800393647604,0.13274566357506923
2024-03-19,1060353.9881260768,-0.017152635554297913,False,0.0,0.0,0.0,0.09470643329953075,0.09940106358895269,0.10703759614713572,0.12152744777270394,0.0701085424953814,0.1074688008970386,0.11261515583070633,0.05174134066268474,0.10415983263999394,0.13123378666587202
