Stress Scenario,Current Equal Weight,Maximum Sharpe,Minimum Volatility,Nifty 50,Risk Parity
Highest Nifty 63-Day Volatility,0.004149838013636664,0.012688330997278063,-0.03404076228955699,-0.039086719993631,-0.01028431702303112
Maximum Nifty Drawdown,-0.17269216915028662,-0.19941739938401637,-0.16716693172981922,-0.15080285035629548,-0.17194774857654072
Worst Nifty 21-Day Window,-0.11260588690402651,-0.0865758830142761,-0.10650932165033888,-0.12365739662022923,-0.11103682473040577
Worst Nifty 63-Day Window,-0.1453961868096889,-0.12110250848274118,-0.13753210224675327,-0.14249510524418707,-0.1416282062175397
Worst Nifty Single Day,-0.05898956733719585,-0.082913751261398,-0.033528598731355386,-0.05929359941641077,-0.05203074840454447
