Portfolio,Rebalances,Total_One_Way_Turnover,Average_Turnover,Total_Transaction_Costs_INR,Annualised One-Way Turnover,Costs as % of Initial Capital
Current Equal Weight,31,0.7117943602605712,0.022961108395502295,1405.9868749824175,0.2802690293525999,0.0014059868749824174
Maximum Sharpe,31,2.013192513169993,0.06494169397322558,4411.360291096074,0.7926945520606847,0.004411360291096075
Minimum Volatility,31,0.8774017154841118,0.028303281144648768,1571.0878134998356,0.34547692547186903,0.0015710878134998357
Risk Parity,31,0.6893397707792118,0.022236766799329413,1323.0495417164902,0.2714275347443147,0.0013230495417164902
