Portfolio,Mean Terminal Return,Median Terminal Return,5th Percentile Return,95th Percentile Return,Probability of Loss,Probability of Loss > 10%,Probability of Loss > 20%,One-Year VaR 95%,One-Year ES 95%,One-Year VaR 99%,One-Year ES 99%,Median Maximum Drawdown,5th Percentile Maximum Drawdown,Median Terminal Value (₹),5th Percentile Terminal Value (₹)
Current Equal Weight,0.20410360580553658,0.19018373748738937,-0.07556825943433124,0.5381329453374722,0.1333,0.0349,0.004,0.07556825943433121,0.1293779840001747,0.16144694948087188,0.20182358326950264,-0.11094358928041936,-0.20541303872744793,1190183.7374873895,924431.7405656688
Minimum Volatility,0.1483889198205857,0.14371722751559324,-0.06331013112146797,0.38013656658823947,0.1359,0.0242,0.0016,0.06331013112146795,0.10714320682319246,0.13298954937224053,0.16710442486408894,-0.08655190775096205,-0.16700581860299185,1143717.2275155932,936689.868878532
Maximum Sharpe,0.2658936038483774,0.2512031751370877,-0.03458300711407951,0.624735738957365,0.0807,0.018,0.0018,0.03458300711407945,0.09315007382045369,0.13012177635689007,0.1709587417390614,-0.11002849994295222,-0.1951233127048305,1251203.1751370877,965416.9928859206
Risk Parity,0.183637000875813,0.1741137148624221,-0.06774324012628258,0.47329349469265464,0.1302,0.0295,0.0027,0.06774324012628252,0.1174249940296363,0.14545412122978926,0.18485438507372862,-0.1000756178248347,-0.1886965447305285,1174113.714862422,932256.7598737174
