,Date,Portfolio,One-Way Turnover,Transaction Cost Rate,Transaction Cost (₹)
0,2024-01-01,Current Equal Weight,0.0,0.0,0.0
1,2024-02-01,Current Equal Weight,0.03167678916434352,4.7515183746515285e-05,48.063114682557924
2,2024-03-01,Current Equal Weight,0.037296401555635066,5.59446023334526e-05,60.69860842370652
3,2024-04-01,Current Equal Weight,0.02017371875102842,3.0260578126542632e-05,33.14613103569454
4,2024-05-02,Current Equal Weight,0.03197562240858408,4.7963433612876116e-05,54.994731910514815
5,2024-06-03,Current Equal Weight,0.030092761349027865,4.51391420235418e-05,54.620244139146585
6,2024-07-01,Current Equal Weight,0.02046520061330271,3.0697800919954064e-05,39.93152834546119
7,2024-08-01,Current Equal Weight,0.018647550051224704,2.7971325076837055e-05,38.54590589406436
8,2024-09-02,Current Equal Weight,0.026823782257456713,4.023567338618507e-05,57.09488510344441
9,2024-10-01,Current Equal Weight,0.021423569288134228,3.213535393220134e-05,47.174819742962335
10,2024-11-01,Current Equal Weight,0.019761590437101358,2.9642385655652038e-05,40.93905608209174
11,2024-12-02,Current Equal Weight,0.018006520673796003,2.7009781010694006e-05,38.32146989747149
12,2025-01-01,Current Equal Weight,0.017831833282519582,2.6747749923779376e-05,37.313455323152134
13,2025-02-01,Current Equal Weight,0.02426269876747588,3.639404815121382e-05,49.53508938057675
14,2025-03-03,Current Equal Weight,0.025747073929940655,3.8620610894910985e-05,46.866524894107535
15,2025-04-01,Current Equal Weight,0.020637273779915054,3.0955910669872585e-05,41.076643726238764
16,2025-05-02,Current Equal Weight,0.02003263061631779,3.0048945924476688e-05,41.097578828830905
17,2025-06-02,Current Equal Weight,0.03156294278220123,4.734441417330185e-05,66.7009783532351
18,2025-07-01,Current Equal Weight,0.01715793050416043,2.5736895756240645e-05,37.81068805301796
19,2025-08-01,Current Equal Weight,0.0319560623930809,4.7934093589621356e-05,68.05122339662702
20,2025-09-01,Current Equal Weight,0.016939125582893913,2.540868837434087e-05,35.695635653894094
21,2025-10-01,Current Equal Weight,0.022477897131381028,3.371684569707154e-05,47.163605793735
22,2025-11-03,Current Equal Weight,0.014618948198277228,2.192842229741584e-05,32.02672660912276
