,HDFCBANK.NS,TCS.NS,SUNPHARMA.NS,BHARTIARTL.NS,LT.NS,M&M.NS
HDFCBANK.NS,0.044779575544384095,0.010239710567173693,0.00688132984167741,0.012685750294766507,0.020644725295575574,0.02111405745499065
TCS.NS,0.010239710567173693,0.048700959161735835,0.00895968187762115,0.010306828410367824,0.015736961753390316,0.012658221360648633
SUNPHARMA.NS,0.00688132984167741,0.00895968187762115,0.04277253622190846,0.010858938658756694,0.011919201217880758,0.014209071030325529
BHARTIARTL.NS,0.012685750294766507,0.010306828410367824,0.010858938658756694,0.0487361862862145,0.015402186472204493,0.01721689109527641
LT.NS,0.020644725295575574,0.015736961753390316,0.011919201217880758,0.015402186472204493,0.0595366966681834,0.025033109552639883
M&M.NS,0.02111405745499065,0.012658221360648633,0.014209071030325529,0.01721689109527641,0.025033109552639883,0.07888982752077019
