Portfolio,1-Day VaR 95%,1-Day ES 95%,1-Day VaR 99%,1-Day ES 99%,Worst Historical Day
Current Equal Weight,0.014677755680405673,0.02039965474898034,0.02256831634948596,0.03247563228416038,-0.0573508370276042
Minimum Volatility,0.011944373797756468,0.016217690484737087,0.019582702591642246,0.02226790443728123,-0.029008443802913238
Maximum Sharpe,0.016419226337852186,0.022627575091773554,0.02399458925716083,0.03720303512952293,-0.08076501414431457
Risk Parity,0.013406166835316867,0.018277939483206978,0.020545603231000874,0.027782837460797544,-0.044479235459391975
