Frontier Portfolio,Target Return,Expected Return,Volatility,Sharpe Ratio,Largest Weight,Active Holdings
1,0.18218810087275736,0.18218810087275736,0.12279065864289081,0.9543730945655464,0.2,9
2,0.18384729818646528,0.1838472981864674,0.12280569324817645,0.9677670069114012,0.2,9
3,0.1855064955001732,0.1855064955001704,0.12285086880942585,0.9809169171372146,0.2,9
4,0.18716569281388112,0.18716569281387893,0.12292715640580146,0.9938055705981775,0.2,9
5,0.18882489012758905,0.18882489012759074,0.12303399852262738,1.0064282362148695,0.19999999999999996,10
6,0.19048408744129697,0.19048408744129677,0.12316994961065737,1.0187881690132572,0.2,10
7,0.19214328475500486,0.19214328475500936,0.12333488816718453,1.0308785019747406,0.2,10
8,0.19380248206871278,0.19380248206871445,0.1235286980771217,1.0426927837311148,0.2,10
9,0.1954616793824207,0.1954616793824185,0.12375124369311007,1.0542251979782087,0.2,10
10,0.19712087669612863,0.1971208766961291,0.12400161951814134,1.065477025296431,0.2,10
11,0.19878007400983655,0.1987800740098418,0.12427743900583439,1.0764630739096683,0.2,10
12,0.20043927132354447,0.20043927132354628,0.12457838743967534,1.0871811243272844,0.20000000000000004,10
13,0.2020984686372524,0.20209846863724928,0.12490428318036118,1.0976282409729679,0.2,10
14,0.20375766595096031,0.20375766595096106,0.12525493149988057,1.1078020185663777,0.2,10
15,0.20541686326466824,0.20541686326466735,0.12563012513640567,1.1177005762925623,0.2,10
16,0.20707606057837613,0.20707606057837508,0.12602964487392837,1.1273225495517223,0.2,10
17,0.20873525789208405,0.20873525789208666,0.12645326014309685,1.1366670794365694,0.2,10
18,0.21039445520579197,0.2103944552057925,0.12690072963972748,1.145733800101614,0.2,10
19,0.2120536525194999,0.2120536525195004,0.12737180195743464,1.154522824201255,0.2,10
20,0.21371284983320782,0.21371284983320143,0.12786621623079814,1.1630347265830967,0.2,10
21,0.21537204714691574,0.2153720471469123,0.12838370278578448,1.1712705264297962,0.2,10
22,0.21703124446062366,0.21703124446062894,0.12892398379396694,1.179231668047038,0.2,10
23,0.21869044177433158,0.21869044177433117,0.1294867739274311,1.1869200004972296,0.2,10
24,0.2203496390880395,0.2203496390880402,0.13007184353275988,1.1943371821966515,0.19999999999999996,10
25,0.2220088364017474,0.22200883640174832,0.1306813524985282,1.2014632034323078,0.19999999999999996,10
26,0.22366803371545535,0.22366803371545427,0.13131622601963047,1.208289626688898,0.2,10
27,0.22532723102916324,0.2253272310291605,0.13197609804612404,1.2148202091345972,0.2,10
28,0.22698642834287117,0.22698642834286875,0.13266059554053702,1.22105910713608,0.2,10
29,0.2286456256565791,0.22864562565658136,0.13336933934419928,1.2270108441809486,0.19999999999999996,10
30,0.230304822970287,0.23030482297028326,0.1341019450242708,1.232680278726495,0.19999999999999996,10
31,0.23196402028399493,0.23196402028399893,0.13485802369798686,1.2380725722179728,0.19999999999999996,10
32,0.23362321759770285,0.23362321759770313,0.13563718283128506,1.2431931574946407,0.20000000000000004,10
33,0.23528241491141078,0.23528241491141455,0.13643902700963859,1.2480477077822105,0.2,10
34,0.2369416122251187,0.2369416122251174,0.1372631586789142,1.2526421064469526,0.2,10
35,0.23860080953882662,0.23860080953882973,0.13810917885476776,1.2569824176667077,0.19999999999999996,10
36,0.2402600068525345,0.24026000685253857,0.13897668779910866,1.261074858150869,0.2,10
37,0.24191920416624244,0.24191920416624468,0.13986528566278073,1.2649257700213192,0.2,10
38,0.24357840147995036,0.2435784014799529,0.14077522273233056,1.2685357409769555,0.2,9
39,0.24523759879365828,0.24523759879365786,0.1417097903118546,1.271878240713057,0.2,9
40,0.2468967961073662,0.24689679610736648,0.14266909000289954,1.2749558864058759,0.2,9
41,0.24855599342107412,0.24855599342107162,0.14365262632926928,1.2777768016599917,0.19999999999999996,9
42,0.25021519073478204,0.2502151907347816,0.14465990494037545,1.2803491804527443,0.2,9
43,0.25187438804848994,0.25187438804848816,0.14569043338680956,1.2826812557577805,0.20000000000000004,9
44,0.2535335853621979,0.25353358536219744,0.1467437218436742,1.284781270322705,0.2,9
45,0.2551927826759058,0.25519278267590345,0.14781928378140383,1.2866574496272207,0.2,8
46,0.25685197998961373,0.256851979989616,0.14891966191759545,1.2882918045823735,0.2,8
47,0.2585111773033216,0.25851117730332474,0.1500496893708571,1.2896473036012082,0.2,8
48,0.2601703746170295,0.26017037461703263,0.15120880778067525,1.2907341674178305,0.2,8
49,0.26182957193073747,0.26182957193073586,0.15239635335612073,1.2915635288909002,0.20000000000000004,8
50,0.2634887692444454,0.2634887692443437,0.15361730998706716,1.2920989780452101,0.2,8
51,0.2651479665581533,0.26514796655810036,0.15488555236658305,1.2922313508259973,0.20000000000000004,8
52,0.2668071638718612,0.26680716387182524,0.15620069122271266,1.2919735648550132,0.20000000000000004,8
53,0.26846636118556916,0.2684663611855148,0.15756155224904825,1.2913452443265319,0.20000000000000007,8
54,0.27012555849927705,0.27012555849935604,0.15896696121517037,1.2903659787627664,0.2,8
55,0.271784755812985,0.2717847558129875,0.16042694786750938,1.2889652178869806,0.19999999999999996,7
56,0.2734439531266929,0.2734439531266709,0.1622598469397434,1.284630529721123,0.2,7
57,0.27510315044040085,0.2751031504405445,0.16460654347627285,1.2763961019011967,0.20000000000000004,6
58,0.27676234775410874,0.2767623477541087,0.16772759099916737,1.2625373469720906,0.19999999999999996,6
59,0.2784215450678167,0.2784215450678166,0.1719131811458877,1.241449571494488,0.19999999999999996,6
60,0.2800807423815246,0.28008074238166164,0.177121735368921,1.2143102704683706,0.20000000000000004,5
