Portfolio,Expected Return,Volatility,Sharpe Ratio
Current Equal Weight,0.2220977774669699,0.14054117988465106,1.1178060237996268
Minimum Volatility,0.18218810087275736,0.12279065864289081,0.9543730945655464
Maximum Sharpe,0.2648685894190827,0.1546686891543332,1.2922369130551539
Risk Parity,0.20935658318144906,0.1319408078016615,1.094101101748986
