,Result
Observations,1319.0
Ending Value (₹),3031020.210714358
Total Return,2.031020210714358
CAGR,0.23597415716707681
Annualised Volatility,0.1423981636469303
Sharpe Ratio,1.200676699672893
Sortino Ratio,1.5704636710379793
Maximum Drawdown,-0.18704674661189724
Calmar Ratio,1.2615785168223157
Beta vs Nifty 50,0.9112356337970442
Correlation vs Nifty 50,0.8815100270376751
