,Scenario,Ticker,Nifty 50 Return,Market Return Shock,Beta vs Nifty 50,Scenario Asset Return
0,Bear,HDFCBANK.NS,-0.2,-0.28,1.0626124495667968,-0.2012411405804267
1,Bear,TCS.NS,-0.2,-0.28,0.7745628036209569,-0.14357113559833384
2,Bear,HINDUNILVR.NS,-0.2,-0.28,0.4825172811148575,-0.0621446702549527
3,Bear,SUNPHARMA.NS,-0.2,-0.28,0.527009582322465,0.06469751559304951
4,Bear,POWERGRID.NS,-0.2,-0.28,0.9284268231032387,-0.061641117590804484
5,Bear,BHARTIARTL.NS,-0.2,-0.28,0.8066498293672234,0.014861522661814952
6,Bear,LT.NS,-0.2,-0.28,1.319494954307351,-0.17565572786644246
7,Bear,M&M.NS,-0.2,-0.28,1.3338016690061167,-0.12967521805967933
8,Bear,BEL.NS,-0.2,-0.28,1.292570969157795,-0.053067390547228255
9,Bear,TRENT.NS,-0.2,-0.28,1.1773791782820824,-0.09455164932539223
10,Base,HDFCBANK.NS,0.08,0.0,1.0626124495667968,0.09629034529827647
11,Base,TCS.NS,0.08,0.0,0.7745628036209569,0.07330644941553409
12,Base,HINDUNILVR.NS,0.08,0.0,0.4825172811148575,0.07296016845720742
13,Base,SUNPHARMA.NS,0.08,0.0,0.527009582322465,0.21226019864333973
14,Base,POWERGRID.NS,0.08,0.0,0.9284268231032387,0.19831839287810238
15,Base,BHARTIARTL.NS,0.08,0.0,0.8066498293672234,0.24072347488463752
16,Base,LT.NS,0.08,0.0,1.319494954307351,0.19380285933961588
17,Base,M&M.NS,0.08,0.0,1.3338016690061167,0.2437892492620334
18,Base,BEL.NS,0.08,0.0,1.292570969157795,0.3088524808169544
19,Base,TRENT.NS,0.08,0.0,1.1773791782820824,0.2351145205935909
20,Bull,HDFCBANK.NS,0.2,0.12000000000000001,1.0626124495667968,0.2238038392462921
21,Bull,TCS.NS,0.2,0.12000000000000001,0.7745628036209569,0.1662539858500489
22,Bull,HINDUNILVR.NS,0.2,0.12000000000000001,0.4825172811148575,0.13086224219099032
23,Bull,SUNPHARMA.NS,0.2,0.12000000000000001,0.527009582322465,0.27550134852203556
24,Bull,POWERGRID.NS,0.2,0.12000000000000001,0.9284268231032387,0.309729611650491
25,Bull,BHARTIARTL.NS,0.2,0.12000000000000001,0.8066498293672234,0.33752145440870435
26,Bull,LT.NS,0.2,0.12000000000000001,1.319494954307351,0.352142253856498
27,Bull,M&M.NS,0.2,0.12000000000000001,1.3338016690061167,0.40384544954276747
28,Bull,BEL.NS,0.2,0.12000000000000001,1.292570969157795,0.4639609971158898
29,Bull,TRENT.NS,0.2,0.12000000000000001,1.1773791782820824,0.3764000219874408
