Portfolio,Expected Return,Volatility,Sharpe Ratio,Largest Weight,Active Holdings,Largest Risk Contribution
Current Portfolio,0.18066488090069802,0.14080831728735277,0.8214350056087695,0.24999999999999994,6,0.26754063340320905
Minimum Volatility,0.17394279315224725,0.13646119471025475,0.7983426598569889,0.2795365274501829,6,0.27953690981451756
Maximum Sharpe,0.2325262409423438,0.15792845273676467,1.0607730148637418,0.30000000000000004,4,0.293824339888505
Risk Parity,0.18608781023028897,0.14085753258072545,0.8596473898965507,0.19783355161875163,6,0.16666666860236523
