,Observations,Ending Value (₹),Total Return,CAGR,Annualised Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Beta vs Nifty 50,Correlation vs Nifty 50
Current Equal Weight,1319.0,3031020.210714358,2.031020210714358,0.23597415716707681,0.1423981636469303,1.200676699672893,1.5704636710379793,-0.18704674661189724,1.2615785168223157,0.9112356337970442,0.8815100270376751
Minimum Volatility,1319.0,2023030.4818428978,1.023030481842898,0.1440972327432457,0.12353200059104309,0.6402975129100337,0.9752863998787638,-0.17304615257751177,0.8327098325904755,0.7512893140631086,0.8377774911141629
Maximum Sharpe,1319.0,4688744.785487933,3.688744785487933,0.34340800422486195,0.15639706124364358,1.7801357775587823,2.176000871040217,-0.18201776786546708,1.886672978424181,0.8754035343382679,0.7710466567301866
Risk Parity,1319.0,2669973.6474264124,1.6699736474264126,0.20638461637267702,0.1335166579950336,1.0589286647508513,1.4394832474927082,-0.1820776314739292,1.1334979190029075,0.863861656611693,0.8912708355575191
