Portfolio,Median Terminal Return,5th Percentile Return,95th Percentile Return,Probability of Loss,Probability of Loss > 10%,Probability of Loss > 20%,One-Year VaR 95%,One-Year ES 95%,One-Year VaR 99%,One-Year ES 99%,Median Maximum Drawdown,5th Percentile Maximum Drawdown,Median Terminal Value (₹),5th Percentile Terminal Value (₹)
Current Portfolio,0.17563593203241923,-0.055955779966305484,0.43443822918921027,0.1088,0.0225,0.0023,0.055955779966305456,0.10629344267829774,0.13559433073046484,0.17820537357551663,-0.09343022960210862,-0.18320301871250685,1175635.9320324191,944044.2200336945
Minimum Volatility,0.16518595758554278,-0.055267376798425194,0.4161138963514965,0.113,0.0198,0.0016,0.055267376798425166,0.10097520008065865,0.1283437133757509,0.16708377944345607,-0.09004107743468615,-0.16992979978690928,1165185.9575855427,944732.6232015748
Maximum Sharpe,0.23341559768463138,-0.02480255865203356,0.5310522298847371,0.0706,0.0117,0.0014,0.024802558652033534,0.07587699704353244,0.10546987399416344,0.1540327526761635,-0.10075192842729186,-0.18167417183090967,1233415.5976846316,975197.4413479664
Risk Parity,0.1792176144174198,-0.05649202851996299,0.4419076852370057,0.1085,0.0217,0.0024,0.0564920285199628,0.10538566871170674,0.13501864791179805,0.17700504523869423,-0.09498145088275473,-0.18333464720336878,1179217.6144174198,943507.971480037
