Portfolio,Bear,Base,Bull
Current Equal Weight,-0.08419890115683956,0.18754181395892922,0.30400212043711583
Maximum Sharpe,-0.0402086504368593,0.23736199903103639,0.3563208488029917
Minimum Volatility,-0.06674206787420082,0.14531673160937886,0.23619907424519876
Risk Parity,-0.07775583446158268,0.17232614771539076,0.2795041400769508
