Portfolio,Bear,Base,Bull
Current Portfolio,-0.08240672795658918,0.18066488090069802,0.2934098561252497
Maximum Sharpe,-0.02814232494248083,0.2325262409423438,0.3442413406072687
Minimum Volatility,-0.057547705384184585,0.17394279315224725,0.2731530068107181
Risk Parity,-0.07471142358671197,0.18608781023028897,0.29785891043757506
