Portfolio,Bear,Base,Bull
Current Equal Weight,0.20980638123958123,0.1398709208263875,0.11889028270242936
Maximum Sharpe,0.23724175657937596,0.1581611710529173,0.1344369953949797
Minimum Volatility,0.17572610153532234,0.11715073435688156,0.09957812420334933
Risk Parity,0.19157328756757025,0.12771552504504682,0.10855819628828979
