Portfolio,Bear,Base,Bull
Current Equal Weight,915801.0988431604,1187541.8139589292,1304002.120437116
Maximum Sharpe,959791.3495631408,1237361.9990310364,1356320.8488029917
Minimum Volatility,933257.9321257992,1145316.731609379,1236199.0742451986
Risk Parity,922244.1655384173,1172326.147715391,1279504.1400769507
