Frontier Portfolio,HDFCBANK.NS,TCS.NS,SUNPHARMA.NS,BHARTIARTL.NS,LT.NS,M&M.NS
1,0.2292758974003643,0.21649726976215405,0.2795365260068443,0.18480461316203764,0.05949988127613758,0.030385812392462144
2,0.22499077610428425,0.21257409460197213,0.2812582402361371,0.1874173104528467,0.06121756685367084,0.032542011751089
3,0.2207056502139087,0.20865099895577116,0.28297991551017415,0.19002985308665346,0.06293505670284975,0.03469852553064291
4,0.21642049295179333,0.20472792903697684,0.28470156614253966,0.19264237971696918,0.06465257757040346,0.03685505458131759
5,0.2121353480477102,0.20080484117048367,0.28642322169450163,0.19525489511296548,0.06637012503441479,0.039011568939924114
6,0.20785020390020412,0.19688176090643658,0.2881448955979762,0.19786743995134898,0.0680876179575368,0.041168081686497486
7,0.2035650604422248,0.19295868133597258,0.2898665477768293,0.20047996426060322,0.06980512903277963,0.04332461715159048
8,0.19927991203332307,0.189035601790691,0.29158820495664267,0.20309249101188548,0.0715226518232623,0.04548113838419558
9,0.19499478016959335,0.18511250547093824,0.29330987010577597,0.20570501601641614,0.07324017745809401,0.04763765077918219
10,0.19070962921001045,0.18118943019715839,0.29503153387237685,0.2083175490322804,0.07495768579101521,0.04979417189715861
11,0.18642448122172844,0.17726634826487916,0.29675318320070465,0.210930066389449,0.07667522508865751,0.0519506958345813
12,0.1821393537927536,0.17334325273386506,0.2984748544697921,0.21354259728592587,0.07839272670858148,0.05410721500908189
13,0.17785021534665763,0.16943995608303866,0.29999999999999993,0.21623806024568049,0.0801598104631042,0.056311957861519
14,0.1735220004651739,0.16570203379961512,0.3,0.21957990106975667,0.08229326893836404,0.05890279572709027
15,0.16919441238746452,0.16196341198185601,0.3000000000000001,0.22292134497998708,0.0844274089601823,0.06149342169051013
16,0.16486683404724584,0.1582247800533034,0.3,0.22626284909258348,0.08656153253202159,0.06408400427484577
17,0.1605392355016449,0.15448616866384976,0.3,0.22960429107109068,0.08869566895191347,0.06667463581150126
18,0.15621162583625361,0.15074756446995366,0.3,0.23294573898896367,0.09082981304243957,0.06926525766238957
19,0.1518840358447337,0.14700894504874495,0.3,0.2362872060398862,0.0929639420108063,0.07185587105582895
20,0.1475564273209828,0.14327033905964412,0.3,0.23962865357841193,0.09509808915233656,0.07444649088862464
21,0.14322885106127797,0.13953170778744814,0.3000000000000001,0.2429701425970394,0.09723220896143266,0.07703708959280187
22,0.13890124026488532,0.13579310438755038,0.3,0.24631159079075712,0.0993663537195813,0.07962771083722588
23,0.13457364419737547,0.13205449011909254,0.30000000000000004,0.24965304944620345,0.1015004865963041,0.08221832964102448
24,0.13024606390776142,0.1283158601198311,0.3,0.2529945247856077,0.10363461991924862,0.08480893126755121
25,0.1259184515464391,0.12457725937061483,0.3,0.2563359764959862,0.1057687586967586,0.08739955389020129
26,0.12159085946045937,0.1208386386500596,0.30000000000000004,0.2596774361115424,0.10790290208778075,0.0899901636901578
27,0.11726324727609826,0.11710003588296652,0.3,0.2630188954555798,0.11003704498408229,0.092580776401273
28,0.11293565711231322,0.11336141442275013,0.29999999999999993,0.26636037940090646,0.11217117591964819,0.09517137314438201
29,0.10860806040997602,0.10962280396859278,0.3,0.26970180628324736,0.11430530833037479,0.09776202100780909
30,0.10428046163699314,0.10588418800378725,0.3,0.27304327980153714,0.11643945096384181,0.10035261959384077
31,0.09995288765883573,0.10214555355681311,0.30000000000000004,0.2763847575652706,0.11857357916836825,0.10294322205071237
32,0.09562529284481044,0.09840693899892905,0.30000000000000004,0.2797262177744167,0.12070770843079044,0.10553384195105339
33,0.09129768550572888,0.09466833070491003,0.3,0.283067673871865,0.12284185710682337,0.10812445281067277
34,0.08697009878639983,0.09092971257984488,0.3,0.28640911182144513,0.12497598114446297,0.11071509566784725
35,0.08264248728711555,0.08719110896098835,0.3,0.28975056682756195,0.1271101265428239,0.11330571038151033
36,0.07831489895760708,0.08345248626923012,0.3,0.2930920432845133,0.12924425874778542,0.11589631274086393
37,0.07398729956381835,0.07971387126030535,0.3,0.2964335092142521,0.13137840264559436,0.1184869173160299
38,0.06965968070392829,0.0759752740971266,0.30000000000000004,0.29977494867258314,0.13351255394804482,0.12107754257831717
39,0.06522160518002286,0.0722079990541372,0.30000000000000004,0.30000000000000004,0.1372541902858523,0.12531620547998773
40,0.06077597509239733,0.06843792684931357,0.29999999999999993,0.29999999999999993,0.14111321988813683,0.12967287817015236
41,0.05633037389871706,0.06466782875612181,0.3,0.3,0.14497225062910746,0.1340295467160536
42,0.05188476776003406,0.060897736883984234,0.29999999999999993,0.29999999999999993,0.14883127453238326,0.13838622082359842
43,0.04743914951672469,0.057127655040799474,0.30000000000000004,0.30000000000000004,0.15269030098869338,0.14274289445378238
44,0.04299351710253024,0.053357586436575496,0.30000000000000004,0.30000000000000004,0.15654932487618142,0.14709957158471293
45,0.03854792426432939,0.04958748394430711,0.3,0.3,0.16040834449130784,0.15145624730005577
46,0.03410232602700878,0.04581738580243476,0.3,0.3,0.16426736570027062,0.15581292247028586
47,0.029656678439254857,0.042047328804015086,0.30000000000000004,0.30000000000000004,0.1681263963679023,0.1601695963888278
48,0.025211090564006146,0.03827721795915237,0.3,0.3,0.17198543067957586,0.16452626079726576
49,0.020765480202146906,0.03450712566470593,0.3,0.3,0.1758444700220388,0.16888292411110847
50,0.01631987419911807,0.03073704367804602,0.29999999999999993,0.29999999999999993,0.1797034567941081,0.17323962532872786
51,0.011874260268641986,0.026966952418867648,0.3,0.3,0.18356250402483004,0.17759628328766033
52,0.007428594896124444,0.023196915915038006,0.3,0.3,0.18742151707508975,0.18195297211374795
53,0.002983015447725575,0.019426794572963528,0.3,0.3,0.1912805626445506,0.18630962733476025
54,0.0,0.014437241129388944,0.3,0.3,0.19485957963756925,0.1907031792330419
55,0.0,0.006960510160586489,0.30000000000000004,0.30000000000000004,0.1978676375934492,0.1951718522459644
56,0.0,0.0,0.3,0.3,0.19895991031854868,0.20104008968145143
57,0.0,0.0,0.3,0.3,0.17422051897915838,0.22577948102084172
58,0.0,0.0,0.30000000000000004,0.30000000000000004,0.14948112762321877,0.2505188723767812
59,0.0,0.0,0.3,0.3,0.12474173627555434,0.2752582637244457
60,0.0,0.0,0.3,0.3,0.10000234492788981,0.29999765507211024
