Ticker,Beta vs Nifty 50,Correlation vs Nifty 50,Shrunk Expected Return
HDFCBANK.NS,1.0626124495667968,0.6943194388334288,0.09629034529827647
TCS.NS,0.7745628036209569,0.44346153643469877,0.07330644941553409
HINDUNILVR.NS,0.4825172811148575,0.31724905738760756,0.07296016845720742
SUNPHARMA.NS,0.527009582322465,0.35792262358955523,0.21226019864333973
POWERGRID.NS,0.9284268231032387,0.47666337273411813,0.19831839287810238
BHARTIARTL.NS,0.8066498293672234,0.5098168174600128,0.24072347488463752
LT.NS,1.319494954307351,0.6818053427327381,0.19380285933961588
M&M.NS,1.3338016690061167,0.6052015872627523,0.2437892492620334
BEL.NS,1.292570969157795,0.5274728967222537,0.3088524808169544
TRENT.NS,1.1773791782820824,0.3727481036755657,0.2351145205935909
