,Observations,Ending Value (₹),Total Return,CAGR,Annualised Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Beta vs Nifty 50,Correlation vs Nifty 50
Current Equal Weight,640.0,1353533.5928249029,0.3535335928249028,0.12659010912874313,0.14976166230699248,0.41125417666966857,0.6235500443091936,-0.1903567868008892,0.6650149503792308,0.9777159419708732,0.8923653453577279
Minimum Volatility,640.0,1176939.1586718038,0.17693915867180388,0.06625085525206043,0.12718115953526066,0.009835224467454448,0.10943473598901728,-0.20095264795014256,0.3296839127419591,0.7881265731637056,0.8470398491594002
Maximum Sharpe,640.0,1498318.059804352,0.49831805980435195,0.17258431511686778,0.16418335031546077,0.6552693370561388,0.8632394595785917,-0.22190120393631074,0.7777529461552731,0.962186868989176,0.8010524699470628
Risk Parity,640.0,1297904.29718266,0.29790429718266,0.10812639951495817,0.13946193800843748,0.3092341905670995,0.500586125535204,-0.18541073941680053,0.5831722577401067,0.9191951024827456,0.9009125927414866
Nifty 50,640.0,1118986.8095714366,0.11898680957143659,0.04526120264455913,0.1366880826720814,-0.1444075955238527,-0.09276397792418226,-0.1576667830374089,0.28706872666908034,0.9999999999999986,1.0
