Stress Scenario,Current Equal Weight,Maximum Sharpe,Minimum Volatility,Nifty 50,Risk Parity
Highest Nifty 63-Day Volatility,-0.1314826852838452,-0.09983732925123434,-0.1285834242855034,-0.13957271361553603,-0.13158720311698713
Maximum Nifty Drawdown,-0.1903567868008884,-0.2219012039363104,-0.17417686997991677,-0.15766678303740833,-0.18541073941680064
Worst Nifty 21-Day Window,-0.1130428125012668,-0.09289598598754767,-0.10832769744620374,-0.1241403363843483,-0.11212014275131554
Worst Nifty 63-Day Window,-0.1469716067269785,-0.12510556125178385,-0.14269443584940822,-0.15181809374299426,-0.14266606603021958
Worst Nifty Single Day,0.0,0.0,0.0,0.0,0.0
