,Number of Holdings,Largest Holding,Top-3 Concentration,Herfindahl Index,Effective Holdings,Average Pairwise Correlation,Diversification Ratio
Current Portfolio,6.0,0.24999999999999994,0.5999999999999999,0.17999999999999994,5.555555555555557,0.2636647883155501,1.5991271687078359
Minimum Volatility,6.0,0.2795365274501829,0.725309696316263,0.21619545602211915,4.625444116169071,0.2636647883155501,1.5972141542982314
Maximum Sharpe,6.0,0.30000000000000004,0.814113170112539,0.260398363141251,3.840269915435521,0.2636647883155501,1.4802191428516265
Risk Parity,6.0,0.19783355161875163,0.5551311776725629,0.16997711172607696,5.883145029617452,0.2636647883155501,1.6149310799911143
