,Current Portfolio,Minimum Volatility,Maximum Sharpe,Risk Parity
HDFCBANK.NS,0.24999999999999994,0.22927589667605097,0.0,0.17475030373636583
TCS.NS,0.14999999999999997,0.21649727219002904,0.0,0.1825473223174455
SUNPHARMA.NS,0.19999999999999996,0.2795365274501829,0.3,0.19783355161875163
BHARTIARTL.NS,0.14999999999999997,0.18480462082719784,0.30000000000000004,0.17310028415766715
LT.NS,0.14999999999999997,0.0594998725559409,0.1858868298874611,0.14240448740309675
M&M.NS,0.09999999999999998,0.030385810300598406,0.21411317011253894,0.12936405076667318
