,Date,Portfolio,Gross Return,Net Return,Portfolio Value (₹),Rebalanced,One-Way Turnover,Transaction Cost Rate
0,2024-01-01,Current Equal Weight,-0.004727761881405335,-0.004727761881405335,995272.2381185946,True,0.0,0.0
1,2024-01-02,Current Equal Weight,-0.005663901629956044,-0.005663901629956003,989635.1140668648,False,0.0,0.0
2,2024-01-03,Current Equal Weight,-0.0008790953541244202,-0.0008790953541244484,988765.1304358102,False,0.0,0.0
3,2024-01-04,Current Equal Weight,0.006684785455008399,0.006684785455008502,995374.813198167,False,0.0,0.0
4,2024-01-05,Current Equal Weight,0.00240777286937585,0.0024077728693758793,997771.4496682456,False,0.0,0.0
5,2024-01-08,Current Equal Weight,-0.007195040765813178,-0.007195040765813232,990592.443412918,False,0.0,0.0
6,2024-01-09,Current Equal Weight,0.00788060626714185,0.007880606267141932,998398.9124306613,False,0.0,0.0
7,2024-01-10,Current Equal Weight,0.0016992619145174766,0.0016992619145175247,1000095.4536780504,False,0.0,0.0
8,2024-01-11,Current Equal Weight,-0.002847035457453447,-0.0028470354574534618,997248.146460591,False,0.0,0.0
9,2024-01-12,Current Equal Weight,0.007082093692490295,0.007082093692490243,1004310.7512684872,False,0.0,0.0
10,2024-01-15,Current Equal Weight,0.009039198128819679,0.009039198128819592,1013388.9151321067,False,0.0,0.0
11,2024-01-16,Current Equal Weight,-0.005516441736780405,-0.005516441736780564,1007798.6142250812,False,0.0,0.0
12,2024-01-17,Current Equal Weight,-0.012527706143841194,-0.012527706143841244,995173.209333899,False,0.0,0.0
13,2024-01-18,Current Equal Weight,0.0009366202251159062,0.0009366202251159805,996105.3086892547,False,0.0,0.0
14,2024-01-19,Current Equal Weight,0.013599152664270017,0.013599152664270031,1009651.4968518098,False,0.0,0.0
15,2024-01-23,Current Equal Weight,-0.014374844881942187,-0.014374844881942184,995137.9131997443,False,0.0,0.0
16,2024-01-24,Current Equal Weight,0.016742628529634786,0.016742628529634818,1011799.1376162036,False,0.0,0.0
17,2024-01-25,Current Equal Weight,-0.005649376131228954,-0.005649376131228845,1006083.1037185567,False,0.0,0.0
18,2024-01-29,Current Equal Weight,0.012377833542525984,0.012377833542525973,1018536.2329063328,False,0.0,0.0
19,2024-01-30,Current Equal Weight,-0.013567753768959037,-0.013567753768958912,1004716.9840934967,False,0.0,0.0
20,2024-01-31,Current Equal Weight,0.0067827238345632085,0.006782723834563242,1011531.7019284982,False,0.0,0.0
21,2024-02-01,Current Equal Weight,-0.002163504200458944,-0.0022109165849057977,1009295.2897125464,True,0.03167678916434352,4.7515183746515285e-05
22,2024-02-02,Current Equal Weight,0.007013023110644891,0.007013023110644889,1016373.5009047657,False,0.0,0.0
23,2024-02-05,Current Equal Weight,-0.0020888979410056355,-0.0020888979410056407,1014250.400391433,False,0.0,0.0
24,2024-02-06,Current Equal Weight,0.008594916436176844,0.008594916436176936,1022967.7978281564,False,0.0,0.0
25,2024-02-07,Current Equal Weight,0.013089339673224391,0.013089339673224343,1036357.7708086995,False,0.0,0.0
26,2024-02-08,Current Equal Weight,0.008470367840065954,0.00847036784006594,1045136.10234136,False,0.0,0.0
27,2024-02-09,Current Equal Weight,-0.006708515221706663,-0.006708515221706679,1038124.7908900477,False,0.0,0.0
28,2024-02-12,Current Equal Weight,-0.005603699645532898,-0.005603699645532867,1032307.4513673183,False,0.0,0.0
29,2024-02-13,Current Equal Weight,0.004214348225399437,0.004214348225399345,1036657.9544430547,False,0.0,0.0
30,2024-02-14,Current Equal Weight,0.002506692706866767,0.0025066927068668754,1039256.5373769726,False,0.0,0.0
31,2024-02-15,Current Equal Weight,0.014474536987023369,0.01447453698702339,1054299.2945662416,False,0.0,0.0
32,2024-02-16,Current Equal Weight,0.009165636914577405,0.00916563691457739,1063962.6190995309,False,0.0,0.0
33,2024-02-19,Current Equal Weight,0.0038878846003706662,0.0038878846003707057,1068099.1829816978,False,0.0,0.0
34,2024-02-20,Current Equal Weight,0.007319915008990546,0.007319915008990652,1075917.5782222962,False,0.0,0.0
35,2024-02-21,Current Equal Weight,-0.01098475700950936,-0.010984757009509516,1064098.8850632645,False,0.0,0.0
36,2024-02-22,Current Equal Weight,0.011633263323212883,0.011633263323212795,1076477.8275951426,False,0.0,0.0
37,2024-02-23,Current Equal Weight,0.0036653398581360697,0.0036653398581361074,1080423.4846830268,False,0.0,0.0
38,2024-02-26,Current Equal Weight,0.0002685424321301527,0.00026854243213025875,1080713.624233334,False,0.0,0.0
39,2024-02-27,Current Equal Weight,0.012796513799362292,0.012796513799362197,1094542.9910389949,False,0.0,0.0
40,2024-02-28,Current Equal Weight,-0.008830748837643551,-0.008830748837643565,1084877.3567931263,False,0.0,0.0
41,2024-02-29,Current Equal Weight,9.187409387866551e-05,9.18740938786744e-05,1084977.0289172512,False,0.0,0.0
42,2024-03-01,Current Equal Weight,0.010156360688906784,0.010099847893013436,1095935.131876729,True,0.037296401555635066,5.59446023334526e-05
43,2024-03-04,Current Equal Weight,0.0027758470216462773,0.0027758470216463493,1098977.2801484666,False,0.0,0.0
44,2024-03-05,Current Equal Weight,0.0014913692167181712,0.001491369216718219,1100616.2610339527,False,0.0,0.0
45,2024-03-06,Current Equal Weight,0.007799837221479384,0.0077998372214793665,1109200.888713331,False,0.0,0.0
46,2024-03-07,Current Equal Weight,0.0038903412139190767,0.0038903412139190685,1113516.058645208,False,0.0,0.0
47,2024-03-11,Current Equal Weight,-0.006725478790978141,-0.006725478790978179,1106027.130009376,False,0.0,0.0
48,2024-03-12,Current Equal Weight,-0.0009959680852528634,-0.0009959680852528185,1104925.5622864629,False,0.0,0.0
49,2024-03-13,Current Equal Weight,-0.02834943475618097,-0.028349434756180902,1073601.5471479862,False,0.0,0.0
50,2024-03-14,Current Equal Weight,0.015769632121988068,0.01576963212198801,1090531.8485921072,False,0.0,0.0
51,2024-03-15,Current Equal Weight,-0.009743583491220544,-0.009743583491220509,1079906.1604755148,False,0.0,0.0
52,2024-03-18,Current Equal Weight,0.0026370450823596948,0.0026370450823596236,1082753.9217054066,False,0.0,0.0
53,2024-03-19,Current Equal Weight,-0.016209383144724254,-0.01620938314472431,1065203.148537031,False,0.0,0.0
54,2024-03-20,Current Equal Weight,0.0013878722524490014,0.0013878722524489628,1066681.5144301066,False,0.0,0.0
55,2024-03-21,Current Equal Weight,0.012656925205727351,0.012656925205727365,1080182.4225765807,False,0.0,0.0
56,2024-03-22,Current Equal Weight,0.0053496356711921125,0.005349635671192177,1085961.004995791,False,0.0,0.0
57,2024-03-26,Current Equal Weight,-0.007541930737494092,-0.007541930737494207,1077770.7623124933,False,0.0,0.0
58,2024-03-27,Current Equal Weight,0.0034923477880852926,0.0034923477880852705,1081534.7126503184,False,0.0,0.0
59,2024-03-28,Current Equal Weight,0.012780099112038076,0.012780099112038146,1095356.833471099,False,0.0,0.0
60,2024-04-01,Current Equal Weight,0.009252762639371793,0.009222222067298391,1105458.4574323024,True,0.02017371875102842,3.0260578126542632e-05
61,2024-04-02,Current Equal Weight,0.005555024332854318,0.005555024332854375,1111599.3060622984,False,0.0,0.0
62,2024-04-03,Current Equal Weight,0.003527784982851753,0.003527784982851667,1115520.7894011734,False,0.0,0.0
63,2024-04-04,Current Equal Weight,0.004574335957514265,0.0045743359575143305,1120623.556259486,False,0.0,0.0
64,2024-04-05,Current Equal Weight,-0.0012519154297940963,-0.0012519154297940815,1119220.630338414,False,0.0,0.0
65,2024-04-08,Current Equal Weight,0.005935698386048646,0.005935698386048571,1125863.986427546,False,0.0,0.0
66,2024-04-09,Current Equal Weight,0.0007882802586275368,0.0007882802586274273,1126751.4827819462,False,0.0,0.0
67,2024-04-10,Current Equal Weight,0.004178054065724947,0.004178054065725023,1131459.1113956452,False,0.0,0.0
68,2024-04-12,Current Equal Weight,-0.007732030228954208,-0.00773203022895419,1122710.6353435083,False,0.0,0.0
69,2024-04-15,Current Equal Weight,-0.009850243788937034,-0.009850243788936952,1111651.6618809425,False,0.0,0.0
70,2024-04-16,Current Equal Weight,-0.00296692398148426,-0.0029669239814843484,1108353.475906251,False,0.0,0.0
71,2024-04-18,Current Equal Weight,0.004451186139799992,0.004451186139800001,1113286.963536204,False,0.0,0.0
72,2024-04-19,Current Equal Weight,0.010065118590830941,0.010065118590830924,1124492.328849822,False,0.0,0.0
73,2024-04-22,Current Equal Weight,0.005599756954741663,0.005599756954741686,1130789.2125888525,False,0.0,0.0
74,2024-04-23,Current Equal Weight,0.000438379884213824,0.00043837988421380203,1131284.9278329376,False,0.0,0.0
75,2024-04-24,Current Equal Weight,0.003454974563278394,0.003454974563278368,1135193.4884824206,False,0.0,0.0
76,2024-04-25,Current Equal Weight,0.00783039161839895,0.007830391618399046,1144082.4980598944,False,0.0,0.0
77,2024-04-26,Current Equal Weight,-0.0069165842474920676,-0.006916584247492197,1136169.355075982,False,0.0,0.0
78,2024-04-29,Current Equal Weight,0.00471299513088108,0.004712995130881081,1141524.1157143111,False,0.0,0.0
79,2024-04-30,Current Equal Weight,0.004444008686921019,0.004444008686921075,1146597.0588008757,False,0.0,0.0
80,2024-05-02,Current Equal Weight,0.01264489574626625,0.01259632582003567,1161039.9689378259,True,0.03197562240858408,4.7963433612876116e-05
81,2024-05-03,Current Equal Weight,-0.01056144478102434,-0.010561444781024387,1148777.7094173268,False,0.0,0.0
82,2024-05-06,Current Equal Weight,0.0034809355691607442,0.003480935569160737,1152776.5306070966,False,0.0,0.0
83,2024-05-07,Current Equal Weight,-0.003142770605699913,-0.003142770605699785,1149153.6184117638,False,0.0,0.0
84,2024-05-08,Current Equal Weight,0.0024221329053502982,0.002422132905350205,1151937.0212042213,False,0.0,0.0
85,2024-05-09,Current Equal Weight,-0.016947273093026974,-0.016947273093027015,1132414.8299199052,False,0.0,0.0
86,2024-05-10,Current Equal Weight,0.006723960068290546,0.006723960068290458,1140029.1420170264,False,0.0,0.0
87,2024-05-13,Current Equal Weight,0.002587450489247919,0.002587450489248022,1142978.9109782956,False,0.0,0.0
88,2024-05-14,Current Equal Weight,0.011513975935971733,0.011513975935971699,1156139.142654623,False,0.0,0.0
89,2024-05-15,Current Equal Weight,0.002262158280146861,0.0022621582801467532,1158754.5123891807,False,0.0,0.0
90,2024-05-16,Current Equal Weight,0.014276356822869932,0.014276356822869873,1175297.3052781592,False,0.0,0.0
91,2024-05-17,Current Equal Weight,0.008710073346668259,0.00871007334666829,1185534.2310112736,False,0.0,0.0
92,2024-05-21,Current Equal Weight,0.015046198957683408,0.015046198957683332,1203372.0149222133,False,0.0,0.0
93,2024-05-22,Current Equal Weight,0.006823748090249226,0.006823748090249326,1211583.5224108985,False,0.0,0.0
94,2024-05-23,Current Equal Weight,0.01179464987771452,0.011794649877714614,1225873.725855343,False,0.0,0.0
95,2024-05-24,Current Equal Weight,0.003659883987790834,0.003659883987790824,1230360.2814756546,False,0.0,0.0
96,2024-05-27,Current Equal Weight,-0.0030484845376405985,-0.0030484845376406167,1226609.547181849,False,0.0,0.0
97,2024-05-28,Current Equal Weight,-0.005347791327700998,-0.005347791327701024,1220049.8952829547,False,0.0,0.0
98,2024-05-29,Current Equal Weight,0.0005720215041475013,0.0005720215041475907,1220747.7900591895,False,0.0,0.0
99,2024-05-30,Current Equal Weight,-0.009644174768043402,-0.009644174768043468,1208974.6850241558,False,0.0,0.0
100,2024-05-31,Current Equal Weight,0.0008825782151885226,0.0008825782151884454,1210041.6997438725,False,0.0,0.0
101,2024-06-03,Current Equal Weight,0.03570708686122051,0.03566033593193185,1253192.1932483849,True,0.030092761349027865,4.51391420235418e-05
102,2024-06-04,Current Equal Weight,-0.05898956733719585,-0.05898956733719585,1179266.9279783112,False,0.0,0.0
103,2024-06-05,Current Equal Weight,0.03542171003461637,0.03542171003461636,1221038.5791545718,False,0.0,0.0
104,2024-06-06,Current Equal Weight,0.006210822490686116,0.006210822490686052,1228622.2330239802,False,0.0,0.0
105,2024-06-07,Current Equal Weight,0.025399490810296445,0.025399490810296355,1259828.6121409985,False,0.0,0.0
106,2024-06-10,Current Equal Weight,-0.0011765010886383358,-0.0011765010886383154,1258346.422407317,False,0.0,0.0
107,2024-06-11,Current Equal Weight,0.00121108164189285,0.001211081641892875,1259870.382658636,False,0.0,0.0
108,2024-06-12,Current Equal Weight,0.005609298325867946,0.005609298325867984,1266937.3714868936,False,0.0,0.0
109,2024-06-13,Current Equal Weight,0.0063231967947111585,0.00632319679471105,1274948.4658133793,False,0.0,0.0
110,2024-06-14,Current Equal Weight,0.010477361093845665,0.01047736109384556,1288306.5612657503,False,0.0,0.0
111,2024-06-18,Current Equal Weight,0.010340597332886156,0.010340597332886059,1301628.4206571146,False,0.0,0.0
112,2024-06-19,Current Equal Weight,-0.0097293073304627,-0.009729307330462622,1288964.4777224767,False,0.0,0.0
113,2024-06-20,Current Equal Weight,-0.003448254920292968,-0.0034482549202929924,1284519.7996200873,False,0.0,0.0
114,2024-06-21,Current Equal Weight,-0.005098067738126485,-0.005098067738126377,1277971.2306706593,False,0.0,0.0
115,2024-06-24,Current Equal Weight,0.011767946092192356,0.01176794609219245,1293010.3272205647,False,0.0,0.0
116,2024-06-25,Current Equal Weight,0.0012268528948082428,0.0012268528948082835,1294596.6606835322,False,0.0,0.0
117,2024-06-26,Current Equal Weight,0.00207038613592532,0.0020703861359252507,1297276.9756614263,False,0.0,0.0
118,2024-06-27,Current Equal Weight,0.003540045361137118,0.0035400453611371674,1301869.3950012268,False,0.0,0.0
119,2024-06-28,Current Equal Weight,-0.000825711402643101,-0.0008257114026430923,1300794.4265970222,False,0.0,0.0
120,2024-07-01,Current Equal Weight,0.005624533330189541,0.005593662868465188,1308070.6320805843,True,0.02046520061330271,3.0697800919954064e-05
