,Observations,Ending Value (₹),Total Return,CAGR,Annualised Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Beta vs Nifty 50,Correlation vs Nifty 50
Current Portfolio,1319.0,2328642.031425381,1.3286420314253813,0.17526656861689704,0.14166517895728709,0.7783604229952873,1.1276791648275122,-0.1758515797906799,0.9966732674538427,0.9193956360615066,0.8940056724846733
Minimum Volatility,1319.0,2177832.580510557,1.1778325805105574,0.16032826912676845,0.13708397616044316,0.6954005259899684,1.0519475058962018,-0.16856950593647324,0.9511107494566036,0.8328291774254405,0.8368934909086843
Maximum Sharpe,1319.0,3952538.4770551375,2.9525384770551377,0.3002757568251275,0.15876026510402808,1.4819561851384064,2.0640134914303103,-0.1442305106593652,2.081915646366256,0.8849970602624274,0.7678934508065255
Risk Parity,1319.0,2464409.979505138,1.4644099795051382,0.18805968910794424,0.14175796084922465,0.8680972015309383,1.2559585378834064,-0.17159723463298737,1.0959365954245521,0.9072863458710022,0.8816533633942467
