Portfolio,1-Day VaR 95%,1-Day ES 95%,1-Day VaR 99%,1-Day ES 99%,Worst Historical Day,95% VaR Amount (₹),95% ES Amount (₹)
Current Portfolio,0.013144334934586215,0.019725751271992522,0.023329147455013664,0.03021150676080325,-0.048048379723769956,13144.334934586215,19725.75127199252
Minimum Volatility,0.013621583602433441,0.018800377432722518,0.021825485294790545,0.027885144347448484,-0.04241353889975975,13621.583602433442,18800.37743272252
Maximum Sharpe,0.014266720029402649,0.02097743886870398,0.0239538990718453,0.03223663825726853,-0.05302822942998496,14266.720029402648,20977.438868703983
Risk Parity,0.013492879167384293,0.01955300615794072,0.02300099639300543,0.02977309743258841,-0.04488103935480694,13492.879167384293,19553.00615794072
