Metric,Adaptive Barbell Strategy,Fixed India 10 Portfolio,Nifty 50
Total Return,1.327851599926353,1.3465493878693593,0.37964174293617337
CAGR,0.20311134973834766,0.20521957260794288,0.07296849105764869
Annualised Volatility,0.1291077081782165,0.18916482616881497,0.13839039999466268
Sharpe Ratio,1.0341810395430915,0.7663489421503374,0.13192854971139742
Sortino Ratio,1.5044405531348806,1.0648730001181044,0.18237960506546128
Maximum Drawdown,-0.14787862349356018,-0.3586156535346563,-0.16465934060306953
Calmar Ratio,1.3735004082398208,0.5722549213488547,0.44314820398526744
Beta vs Nifty 50,0.8089203833810208,1.0010308862911368,1.0000000000000004
Correlation vs Nifty 50,0.8670808040787717,0.7323405073055811,1.0
