Volatility State,Investment,Trading Days,Cumulative Return,Annualised Return,Annualised Volatility,Sharpe Ratio,Maximum Drawdown,Positive-Day Frequency
High Volatility,Adaptive Barbell Strategy,505,0.6301226133703075,0.2761449815771668,0.13692814132765907,1.3900058154080566,-0.10206599396629423,0.5386138613861386
High Volatility,Fixed India 10 Portfolio,505,0.7360789038836277,0.3168840343287058,0.2005956400619179,1.1591333408675386,-0.1862056444000496,0.5306930693069307
High Volatility,Nifty 50,505,0.43783276174735386,0.19866559648257542,0.15808249085846182,0.8272060443333994,-0.16465934060306897,0.5306930693069307
Low Volatility,Adaptive Barbell Strategy,628,0.4401989067620524,0.1576327450689059,0.12248688145993429,0.742496697346815,-0.16863860966418398,0.5573248407643312
Low Volatility,Fixed India 10 Portfolio,628,0.3599311109686465,0.13129755603458038,0.17936102217567276,0.4275968296960104,-0.3441980906456281,0.5461783439490446
Low Volatility,Nifty 50,628,-0.025451535028887973,-0.010291925238576138,0.12035267615288044,-0.5489165176102353,-0.23699086549173565,0.5238853503184714
