Momentum Lookback,Volatility Lookback,Trend Lookback,Defensive Exposure,CAGR,Annualised Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Beta vs Nifty 50,Average Turnover,Total Transaction Costs,CAGR Difference vs Fixed,Sharpe Difference vs Fixed,Drawdown Improvement vs Fixed
63,21,100,0.5,0.19495662472342623,0.11467982988532174,1.0885635427328206,1.6089984296908373,-0.1347158485761123,1.4471691845022887,0.6825635248081853,0.18929732944895655,100942.60078108922,-0.010262951981426127,0.3222146313935733,0.2238998318285269
63,21,100,0.7,0.19809143720369504,0.1246220483059705,1.0326753138300464,1.5105126775360693,-0.1460683689569643,1.3561556045173488,0.77541421465742,0.15903770986080332,87534.18968937527,-0.007128139501157316,0.2663264024907991,0.2125473114476749
63,21,100,0.8,0.1993680249107661,0.13048609476017023,1.000315900839687,1.4557662115961187,-0.15785688372895523,1.262966936893843,0.8220398839325176,0.14607880544168134,81448.19814394436,-0.005851551794086252,0.2339669895004396,0.20075879667568397
63,21,150,0.5,0.2025432481399012,0.12087857472057126,1.0920910052076498,1.6084045874609694,-0.11299214198258578,1.7925427785156682,0.728351799639734,0.1883569622457227,80314.4332145669,-0.002676328564951147,0.32574209386840247,0.24562353842205342
63,21,150,0.7,0.2025345502426117,0.12854276295174868,1.034361959725538,1.5107319726254396,-0.141045564155045,1.4359512222587494,0.8028754749391489,0.15975924069626368,73316.15345390532,-0.0026850264622406694,0.2680130483862907,0.21757011624959421
63,21,150,0.8,0.2022706456502923,0.13314273846955701,1.001474335350353,1.4563336153767599,-0.15494893009127542,1.30540201556178,0.8403418315380696,0.14757172152877668,70368.89563258446,-0.0029489310545600667,0.2351254240111057,0.2036667503133638
63,21,200,0.5,0.200062886567401,0.12305266065272771,1.0578753304550468,1.5495721096235513,-0.12382599745391665,1.615677569178127,0.7439354935581628,0.19283746802552082,82399.11064041615,-0.005156690137451347,0.29152641911579946,0.23478968295072256
63,21,200,0.7,0.20104285086975682,0.12993397148925348,1.0149501300176733,1.477827823413107,-0.1473722144129016,1.364184230186587,0.8122005440147194,0.162474333058738,75596.54175924149,-0.0041767258350955405,0.248601218678426,0.2112434659917376
63,21,200,0.8,0.20128381886384683,0.13409085455634479,0.9891069838331132,1.4355418121385728,-0.15909708363340236,1.265163472937397,0.8465482056248524,0.14933410394270477,72509.74500307524,-0.003935757841005527,0.22275807249386592,0.19951859677123684
63,63,100,0.5,0.19842797987449434,0.11376615292098227,1.1223323639992693,1.665390576804086,-0.13564501491852843,1.4628475657116837,0.6797982352622478,0.15790497666878933,82955.57865229706,-0.006791596830358015,0.35598345266002196,0.22297066548611078
63,63,100,0.7,0.20223342143577705,0.12371026263332817,1.067758436725727,1.5673210626769196,-0.14824552772723754,1.3641789033114973,0.7726912230116504,0.12456391875223657,67126.35789008504,-0.002986155269075308,0.3014095253864796,0.21037015267740167
63,63,100,0.8,0.20384662336405146,0.12957143021911985,1.035730444989387,1.5123264406458912,-0.16029700343681663,1.2716808112036888,0.8193303244656335,0.10960406136328091,59729.685083755416,-0.0013729533408008976,0.2693815336501396,0.19831867696782257
