Metric,Adaptive Barbell Strategy,Fixed India 10 Portfolio,Nifty 50
Total Return,1.5361695600896765,1.5353863639703547,1.0090357468453348
CAGR,0.19704108781253904,0.19696964084110724,0.14433602027267067
Annualised Volatility,0.14901948109031068,0.17305895315057895,0.1820061204622813
Sharpe Ratio,0.8829939602027046,0.7827504746533337,0.501357593890334
Sortino Ratio,1.243500801094423,1.0987212293127153,0.676448481682342
Maximum Drawdown,-0.23733032665870635,-0.32057157367884814,-0.38439852452742096
Calmar Ratio,0.830239820534586,0.6144326478505341,0.3754853649610575
Beta vs Nifty 50,0.6880611415409728,0.8289167236376677,1.000000000000001
Correlation vs Nifty 50,0.8403689108058748,0.8717718113337152,1.0
