Market Regime,Investment,Trading Days,Cumulative Return,Annualised Return,Annualised Volatility,Sharpe Ratio,Maximum Drawdown,Positive-Day Frequency
Normal,Adaptive Barbell Strategy,1863,3.2011622892760707,0.21428465393926754,0.13673904060452685,1.0282492699259793,-0.16152845617398048,0.5560923242082663
Normal,Fixed India 10 Portfolio,1863,3.5201288002582256,0.22636411285497382,0.15683644377080147,0.9786743567034148,-0.25190770710747545,0.5485775630703167
Normal,Nifty 50,1863,1.05154414569372,0.10208181678494288,0.1318043268490946,0.32574936322324965,-0.19892473086183116,0.5410628019323671
Defensive,Adaptive Barbell Strategy,549,0.4172666200578852,0.1735963447804787,0.15061465753544273,0.720606432267855,-0.1935920812745412,0.5555555555555556
Defensive,Fixed India 10 Portfolio,549,0.3242796672140391,0.13760289089068434,0.2451995180616564,0.39286787348210184,-0.2875928981580298,0.5355191256830601
Defensive,Nifty 50,549,0.3722037894366266,0.15631829429748634,0.2405571946883826,0.4639351828495718,-0.3279842544758066,0.5318761384335154
