Effect,Ending Value Effect (₹),CAGR Effect,Volatility Effect,Sharpe Effect,Drawdown Improvement,Calmar Effect,Beta Effect
Selected Ten-Stock Universe,966907.6813822184,0.13225108564720367,0.05077444226219052,0.6344203616278499,-0.19395633980156968,0.12910668591049956,0.001030945362792135
Dynamic Allocation Weighting,-8949.512180694379,-0.001007436415298324,-0.04682627535670561,0.19088100804889419,0.1746532624681575,0.5378204319021022,-0.08969225660759472
Transaction Costs,-11975.055987132248,-0.0013527420744781082,-8.071317569802172e-06,-0.007992533807535951,-0.0003318782856305269,-0.009339149417423087,-9.398594178977593e-05
Defensive Cash Protection,2226.933796426747,0.0002519730156851363,-0.013222765227846073,0.084943639675094,0.03641565588068041,0.27276422471411954,-0.10232423745242414
