Transaction Cost Rate,Ending Value (₹),CAGR,Annualised Volatility,Sharpe Ratio,Maximum Drawdown,Calmar Ratio,Average Turnover,Estimated OOS Trading Costs (₹),CAGR Drag vs Zero Cost
0.0,2346805.6452129046,0.20524837497369375,0.12912284419501247,1.0480659006739095,-0.14723887752336495,1.3939822037907306,0.09942308310595395,0.0,0.0
0.001,2334153.1308665047,0.20382333631919525,0.12911233006192036,1.0388130953343822,-0.14766540683822127,1.38030525011521,0.09942308310595394,22714.39090661066,-0.0014250386544985005
0.0015,2327851.599926353,0.20311134973834766,0.1291077081782165,1.0341810395430915,-0.14787862349356018,1.3735004082398208,0.09942308310595395,33884.60093189174,-0.0021370252353460906
0.0025,2315297.78323804,0.20168844132453878,0.12909973500389357,1.024905845789833,-0.14830496081602906,1.3599574836524277,0.09942308310595394,55856.14600021943,-0.003559933649154967
0.005,2284198.5823018434,0.19813737437291534,0.129087215497721,1.0016553203463947,-0.14937024434000556,1.3264849049982343,0.09942308310595395,108679.94359789968,-0.0071110006007784055
