Date,Ticker,Score,Strategy,Signal Type,Signal Rank,Selected,Target Weight
2026-07-01,HDFCBANK.NS,0.4568708487872358,Nifty Outperformance Logistic,Classification Model,9,False,0.0
2026-07-01,TRENT.NS,0.42396421077464375,Nifty Outperformance Logistic,Classification Model,10,False,0.0
2026-07-01,POWERGRID.NS,0.6617961072708332,Positive Return Logistic,Classification Model,1,True,0.3333333333333333
2026-07-01,SUNPHARMA.NS,0.6357120272052407,Positive Return Logistic,Classification Model,2,True,0.3333333333333333
2026-07-01,TCS.NS,0.6226852447597314,Positive Return Logistic,Classification Model,3,True,0.3333333333333333
2026-07-01,BEL.NS,0.6226174390829646,Positive Return Logistic,Classification Model,4,False,0.0
2026-07-01,BHARTIARTL.NS,0.6019254806498717,Positive Return Logistic,Classification Model,5,False,0.0
2026-07-01,M&M.NS,0.591139763813566,Positive Return Logistic,Classification Model,6,False,0.0
2026-07-01,LT.NS,0.5883048130475607,Positive Return Logistic,Classification Model,7,False,0.0
2026-07-01,HINDUNILVR.NS,0.588301211789647,Positive Return Logistic,Classification Model,8,False,0.0
2026-07-01,HDFCBANK.NS,0.5577605692267438,Positive Return Logistic,Classification Model,9,False,0.0
2026-07-01,TRENT.NS,0.5103576260332341,Positive Return Logistic,Classification Model,10,False,0.0
2026-07-01,TCS.NS,0.023780161942791506,Random Forest,Tree-Based Model,1,True,0.3333333333333333
2026-07-01,LT.NS,0.0005262271976062595,Random Forest,Tree-Based Model,2,True,0.3333333333333333
2026-07-01,BEL.NS,0.00043034858852918453,Random Forest,Tree-Based Model,3,True,0.3333333333333333
2026-07-01,M&M.NS,-0.00016573111302670647,Random Forest,Tree-Based Model,4,False,0.0
2026-07-01,BHARTIARTL.NS,-0.0006569869010151743,Random Forest,Tree-Based Model,5,False,0.0
2026-07-01,TRENT.NS,-0.0007709900333723315,Random Forest,Tree-Based Model,6,False,0.0
2026-07-01,HINDUNILVR.NS,-0.0009029516019015594,Random Forest,Tree-Based Model,7,False,0.0
2026-07-01,HDFCBANK.NS,-0.002438307838071071,Random Forest,Tree-Based Model,8,False,0.0
2026-07-01,POWERGRID.NS,-0.0024872059512618316,Random Forest,Tree-Based Model,9,False,0.0
2026-07-01,SUNPHARMA.NS,-0.0039909925236620005,Random Forest,Tree-Based Model,10,False,0.0
2026-07-01,TCS.NS,0.0020689846548509715,Ridge Regression,Regression Model,1,True,0.3333333333333333
2026-07-01,POWERGRID.NS,0.0007318935284043506,Ridge Regression,Regression Model,2,True,0.3333333333333333
2026-07-01,SUNPHARMA.NS,0.0002326765600121853,Ridge Regression,Regression Model,3,True,0.3333333333333333
2026-07-01,BEL.NS,-0.000535911410367961,Ridge Regression,Regression Model,4,False,0.0
2026-07-01,LT.NS,-0.004258490746638226,Ridge Regression,Regression Model,5,False,0.0
2026-07-01,BHARTIARTL.NS,-0.00617271250892095,Ridge Regression,Regression Model,6,False,0.0
2026-07-01,HINDUNILVR.NS,-0.006541066141925814,Ridge Regression,Regression Model,7,False,0.0
2026-07-01,M&M.NS,-0.007173460285402953,Ridge Regression,Regression Model,8,False,0.0
2026-07-01,HDFCBANK.NS,-0.014228492381175684,Ridge Regression,Regression Model,9,False,0.0
2026-07-01,TRENT.NS,-0.03234685735035052,Ridge Regression,Regression Model,10,False,0.0
