Strategy,Signal Date,Execution Date,Ticker,Score,Selected,Target Weight,Source Strategy,Construction Method,Regime,Market Regime
Gradient Boosting,2026-07-01,2026-07-02,POWERGRID.NS,-0.01324916529331446,False,0.0,Gradient Boosting,Top-3 Equal Weight,,Bear / Higher Volatility
Gradient Boosting,2026-07-01,2026-07-02,TRENT.NS,-0.007102392130454945,False,0.0,Gradient Boosting,Top-3 Equal Weight,,Bear / Higher Volatility
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,SUNPHARMA.NS,0.008646478576159342,True,0.39045401669599916,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,,Bear / Higher Volatility
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,LT.NS,0.005616167048166635,True,0.3358413137181833,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,,Bear / Higher Volatility
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,TCS.NS,0.04866082647100814,True,0.2737046695858175,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,,Bear / Higher Volatility
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,BEL.NS,-0.007733974861852167,False,0.0,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,,Bear / Higher Volatility
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,BHARTIARTL.NS,-0.009186216502094788,False,0.0,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,,Bear / Higher Volatility
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,HDFCBANK.NS,-0.021529122045633793,False,0.0,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,,Bear / Higher Volatility
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,HINDUNILVR.NS,-0.007741860258872323,False,0.0,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,,Bear / Higher Volatility
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,M&M.NS,-0.002092592853820691,False,0.0,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,,Bear / Higher Volatility
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,POWERGRID.NS,-0.01324916529331446,False,0.0,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,,Bear / Higher Volatility
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,TRENT.NS,-0.007102392130454945,False,0.0,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,,Bear / Higher Volatility
Lasso Regression,2026-07-01,2026-07-02,LT.NS,0.003187952937254065,True,0.3333333333333333,Lasso Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Lasso Regression,2026-07-01,2026-07-02,POWERGRID.NS,0.0032613645418870024,True,0.3333333333333333,Lasso Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Lasso Regression,2026-07-01,2026-07-02,TCS.NS,0.007885372327157244,True,0.3333333333333333,Lasso Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Lasso Regression,2026-07-01,2026-07-02,BEL.NS,0.0023068411913166756,False,0.0,Lasso Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Lasso Regression,2026-07-01,2026-07-02,BHARTIARTL.NS,0.0004324815314685204,False,0.0,Lasso Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Lasso Regression,2026-07-01,2026-07-02,HDFCBANK.NS,-0.005439943796625101,False,0.0,Lasso Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Lasso Regression,2026-07-01,2026-07-02,HINDUNILVR.NS,-0.0007949358012261055,False,0.0,Lasso Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Lasso Regression,2026-07-01,2026-07-02,M&M.NS,-0.00034049637613497996,False,0.0,Lasso Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Lasso Regression,2026-07-01,2026-07-02,SUNPHARMA.NS,0.0021970343221078253,False,0.0,Lasso Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Lasso Regression,2026-07-01,2026-07-02,TRENT.NS,-0.015245502753567251,False,0.0,Lasso Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Linear Regression,2026-07-01,2026-07-02,POWERGRID.NS,0.0006808523147905235,True,0.3333333333333333,Linear Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Linear Regression,2026-07-01,2026-07-02,SUNPHARMA.NS,0.00022553589077504554,True,0.3333333333333333,Linear Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Linear Regression,2026-07-01,2026-07-02,TCS.NS,0.0020266809644202124,True,0.3333333333333333,Linear Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Linear Regression,2026-07-01,2026-07-02,BEL.NS,-0.0005383457272671952,False,0.0,Linear Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Linear Regression,2026-07-01,2026-07-02,BHARTIARTL.NS,-0.006190268890761733,False,0.0,Linear Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Linear Regression,2026-07-01,2026-07-02,HDFCBANK.NS,-0.014210895785310138,False,0.0,Linear Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Linear Regression,2026-07-01,2026-07-02,HINDUNILVR.NS,-0.006545586885882484,False,0.0,Linear Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Linear Regression,2026-07-01,2026-07-02,LT.NS,-0.0042505777893291725,False,0.0,Linear Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Linear Regression,2026-07-01,2026-07-02,M&M.NS,-0.007168380444145957,False,0.0,Linear Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Linear Regression,2026-07-01,2026-07-02,TRENT.NS,-0.03241631735704947,False,0.0,Linear Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Nifty Outperformance Logistic,2026-07-01,2026-07-02,BEL.NS,0.49561952728311576,True,0.3333333333333333,Nifty Outperformance Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
